b,w,h,n_blocks,tile_rows,tile_cols,total_cells,feasible,in_sample_frac,held_out_frac_mean,held_out_frac_std,held_out_mass_mean,held_out_mass_std,overlap_cells_mean,n_thinnings
0,0,6,1,64,1,64,1,0.367812,0.366801,0.001942,11391.000,76.909,0.000,12
0,1,5,1,32,2,64,1,0.580332,0.580543,0.002074,18046.833,74.604,0.000,12
0,2,4,1,16,4,64,1,0.662196,0.662912,0.001565,20588.750,93.899,0.000,12
0,3,3,1,8,8,64,1,0.667120,0.665412,0.002867,20633.833,119.203,0.000,12
0,4,2,1,4,16,64,1,0.599163,0.599451,0.001720,18598.833,76.419,0.000,12
0,5,1,1,2,32,64,1,0.507446,0.506857,0.001171,15769.500,50.642,0.000,12
0,6,0,1,1,64,64,1,0.266071,0.266124,0.002901,8252.833,96.364,0.000,12
1,0,5,2,32,1,64,1,0.581276,0.581131,0.002391,18021.333,78.448,0.000,12
1,1,4,2,16,2,64,1,0.670548,0.670821,0.001871,20844.583,118.888,0.000,12
1,2,3,2,8,4,64,1,0.696811,0.696798,0.002506,21639.917,98.263,2.250,12
1,3,2,2,4,8,64,1,0.686027,0.688234,0.001162,21407.833,101.994,0.000,12
1,4,1,2,2,16,64,1,0.601489,0.598803,0.002025,18568.250,78.161,0.000,12
1,5,0,2,1,32,64,1,0.509313,0.506991,0.001774,15778.417,76.056,0.000,12
2,0,4,4,16,1,64,1,0.675702,0.675437,0.001667,20995.083,62.933,0.000,12
2,1,3,4,8,2,64,1,0.722430,0.721169,0.002045,22341.333,104.029,0.083,12
2,2,2,4,4,4,64,1,0.729526,0.728537,0.003297,22632.833,135.186,1.167,12
2,3,1,4,2,8,64,1,0.696296,0.693882,0.002051,21556.750,102.744,0.000,12
2,4,0,4,1,16,64,1,0.604003,0.604307,0.002124,18734.917,65.501,0.000,12
3,0,3,8,8,1,64,1,0.744356,0.742847,0.002210,23063.167,117.393,0.000,12
3,1,2,8,4,2,64,1,0.753992,0.752718,0.005639,23303.583,192.873,1.083,12
3,2,1,8,2,4,64,1,0.745611,0.744341,0.002489,23116.250,108.695,0.417,12
3,3,0,8,1,8,64,1,0.703972,0.703348,0.002508,21839.083,110.264,0.000,12
