b,w,h,n_blocks,tile_rows,tile_cols,total_cells,feasible,in_sample_frac,held_out_frac_mean,held_out_frac_std,held_out_mass_mean,held_out_mass_std,overlap_cells_mean,n_thinnings
0,0,5,1,32,1,32,1,0.363222,0.362360,0.001945,11253.083,78.977,0.000,12
0,1,4,1,16,2,32,1,0.554528,0.554856,0.001851,17248.333,67.854,0.000,12
0,2,3,1,8,4,32,1,0.584596,0.584417,0.001538,18150.917,99.487,0.000,12
0,3,2,1,4,8,32,1,0.550620,0.549635,0.002243,17043.667,92.390,0.000,12
0,4,1,1,2,16,32,1,0.490900,0.492280,0.001563,15273.750,76.034,0.000,12
0,5,0,1,1,32,32,1,0.264346,0.264289,0.001153,8222.667,42.878,0.000,12
1,0,4,2,16,1,32,1,0.557286,0.556211,0.001478,17283.750,59.794,0.000,12
1,1,3,2,8,2,32,1,0.603491,0.601805,0.002267,18700.917,156.140,0.000,12
1,2,2,2,4,4,32,1,0.603028,0.602671,0.002124,18701.750,95.885,0.000,12
1,3,1,2,2,8,32,1,0.561795,0.560836,0.001566,17422.750,63.235,0.000,12
1,4,0,2,1,16,32,1,0.495176,0.494521,0.002413,15376.167,103.941,0.000,12
2,0,3,4,8,1,32,1,0.619058,0.616733,0.001829,19160.167,95.396,0.000,12
2,1,2,4,4,2,32,1,0.626817,0.625569,0.004081,19394.917,152.727,0.250,12
2,2,1,4,2,4,32,1,0.616181,0.615934,0.002283,19127.417,83.142,0.000,12
2,3,0,4,1,8,32,1,0.566362,0.566239,0.002135,17570.583,47.280,0.000,12
3,0,2,8,4,1,32,1,0.656848,0.654477,0.004912,20309.917,206.653,0.000,12
3,1,1,8,2,2,32,1,0.659068,0.659324,0.005363,20470.750,180.377,0.083,12
3,2,0,8,1,4,32,1,0.637324,0.636401,0.001890,19754.333,79.010,0.000,12
