b,w,h,n_blocks,tile_rows,tile_cols,total_cells,feasible,in_sample_frac,held_out_frac_mean,held_out_frac_std,held_out_mass_mean,held_out_mass_std,overlap_cells_mean,n_thinnings
0,0,8,1,256,1,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,1,7,1,128,2,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,2,6,1,64,4,256,1,0.713523,0.713035,0.001546,22143.750,77.301,0.000,12
0,3,5,1,32,8,256,1,0.828006,0.826869,0.001464,25660.833,83.813,0.000,12
0,4,4,1,16,16,256,1,0.869175,0.869966,0.000789,26989.500,98.874,0.000,12
0,5,3,1,8,32,256,1,0.765664,0.763813,0.001890,23700.667,109.661,0.000,12
0,6,2,1,4,64,256,1,0.625834,0.625718,0.001715,19434.917,70.472,0.000,12
0,7,1,1,2,128,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,8,0,1,1,256,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,0,7,2,128,1,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,1,6,2,64,2,256,1,0.713287,0.713601,0.000749,22203.750,61.455,0.000,12
1,2,5,2,32,4,256,1,0.829187,0.828428,0.000970,25797.917,83.038,0.000,12
1,3,4,2,16,8,256,1,0.879192,0.878398,0.001815,27284.167,122.834,15.167,12
1,4,3,2,8,16,256,1,0.870823,0.870847,0.001604,27016.500,120.447,0.000,12
1,5,2,2,4,32,256,1,0.766611,0.763952,0.001176,23749.917,115.979,0.000,12
1,6,1,2,2,64,256,1,0.627255,0.624181,0.002027,19412.500,82.250,0.000,12
1,7,0,2,1,128,256,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
2,0,6,4,64,1,256,1,0.712780,0.714551,0.001893,22140.583,126.242,0.000,12
2,1,5,4,32,2,256,1,0.831707,0.831920,0.001385,25815.333,103.776,0.000,12
2,2,4,4,16,4,256,1,0.891372,0.890815,0.003137,27617.750,151.574,11.167,12
2,3,3,4,8,8,256,1,0.886317,0.884511,0.002687,27451.167,107.110,17.250,12
2,4,2,4,4,16,256,1,0.875084,0.873461,0.001776,27137.583,62.235,0.000,12
2,5,1,4,2,32,256,1,0.767509,0.765336,0.001723,23746.167,121.344,0.000,12
2,6,0,4,1,64,256,1,0.625733,0.625457,0.002277,19407.500,85.791,0.000,12
3,0,5,8,32,1,256,1,0.834763,0.831582,0.001323,25761.417,166.932,0.000,12
3,1,4,8,16,2,256,1,0.902118,0.901038,0.001342,27939.833,103.225,10.417,12
3,2,3,8,8,4,256,1,0.901880,0.901060,0.003528,27909.000,125.470,19.083,12
3,3,2,8,4,8,256,1,0.901382,0.899446,0.004010,27927.917,187.916,11.500,12
3,4,1,8,2,16,256,1,0.877139,0.875527,0.001637,27140.583,142.465,0.000,12
3,5,0,8,1,32,256,1,0.769656,0.766033,0.001595,23738.083,99.950,0.000,12
