b,w,h,n_blocks,tile_rows,tile_cols,total_cells,feasible,in_sample_frac,held_out_frac_mean,held_out_frac_std,held_out_mass_mean,held_out_mass_std,overlap_cells_mean,n_thinnings
0,0,7,1,128,1,128,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,1,6,1,64,2,128,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,2,5,1,32,4,128,1,0.651293,0.641510,0.020957,191.333,9.232,0.000,12
0,3,4,1,16,8,128,1,0.825639,0.794963,0.016226,244.250,10.183,0.000,12
0,4,3,1,8,16,128,1,0.797806,0.772940,0.019131,237.833,10.526,0.000,12
0,5,2,1,4,32,128,1,0.601992,0.570615,0.021871,172.333,7.454,0.000,12
0,6,1,1,2,64,128,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
0,7,0,1,1,128,128,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,0,6,2,64,1,128,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
1,1,5,2,32,2,128,1,0.637678,0.652316,0.007983,198.083,8.210,0.000,12
1,2,4,2,16,4,128,1,0.825790,0.793212,0.019793,236.083,12.698,0.000,12
1,3,3,2,8,8,128,1,0.878977,0.845270,0.013037,250.917,9.429,3.583,12
1,4,2,2,4,16,128,1,0.796682,0.764249,0.022599,229.833,11.239,0.000,12
1,5,1,2,2,32,128,1,0.579686,0.586727,0.019688,180.833,8.868,0.000,12
1,6,0,2,1,64,128,0,0.000000,0.000000,0.000000,0.000,0.000,0.000,0
2,0,5,4,32,1,128,1,0.641070,0.645956,0.017664,195.333,10.742,0.000,12
2,1,4,4,16,2,128,1,0.836733,0.797061,0.015474,240.417,9.819,0.000,12
2,2,3,4,8,4,128,1,0.912365,0.856412,0.014472,260.417,9.242,5.000,12
2,3,2,4,4,8,128,1,0.915781,0.853671,0.017677,255.000,11.712,1.667,12
2,4,1,4,2,16,128,1,0.800431,0.755624,0.015101,226.750,13.248,0.000,12
2,5,0,4,1,32,128,1,0.586469,0.588148,0.017879,177.417,5.314,0.000,12
3,0,4,8,16,1,128,1,0.835828,0.790477,0.014386,239.333,13.092,0.000,12
3,1,3,8,8,2,128,1,0.932914,0.857525,0.020842,259.167,9.948,5.167,12
3,2,2,8,4,4,128,1,0.946617,0.872589,0.017769,260.417,8.976,8.083,12
3,3,1,8,2,8,128,1,0.944139,0.869072,0.016860,265.417,9.023,0.750,12
3,4,0,8,1,16,128,1,0.801984,0.753201,0.016184,226.417,10.020,0.000,12
