848,2,769,99,11,48,128,0,0,0,0,4,1,0,0,0,0,0,0,0,0,12,9,0,0,0,0,1026,0,4,3,4,58,10,16,4,1,0,34,10,0,0,0,0,0,3,0,0,0,0,0,7,2,17,2,41,1,10,0,2,86,2,2,2,2,2,3,13,0,14,0,0,1,78,3,0,241,86,28,5,0,0,2
6,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
870,17,5971,345,60,147,171,12,0,26,0,0,7,0,43,1,0,0,0,0,0,541,131,11,11,6,0,4883,12,3,10,8,226,13,22,57,0,2,116,7,0,0,1,0,0,2,0,0,0,0,0,1,32,66,3,565,23,114,6,3,187,2,19,3,0,5,42,10,0,181,1,0,2,147,12,0,54,23,27,12,0,6,9
245,0,600,107,43,42,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,13,0,4,9,2,622,8,0,7,4,78,0,0,6,0,0,25,4,0,0,0,1,1,0,0,0,0,0,0,2,6,1,0,0,0,4,0,2,27,1,8,2,1,0,0,4,0,2,0,0,0,45,1,0,13,3,13,0,0,0,1
12,0,63,31,36,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,131,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,1,5,0,0,4,0,0,0,0,0,19,2,0,0,3,3,0,0,0,0
28,0,40,3,10,70,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,7,0,0,0,0,69,0,0,0,0,4,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,23,0,4,0,0,0,0,1,0,2,0,0,0,8,0,0,6,7,4,0,0,2,3
127,1,570,23,9,9,112,1,0,5,0,0,0,0,0,0,0,0,0,0,0,196,33,0,0,0,0,560,3,0,0,0,2,0,1,0,1,1,75,9,0,0,3,0,0,0,0,0,1,0,0,1,2,20,0,37,0,3,0,0,45,2,16,0,0,1,7,0,0,1,0,1,0,21,2,0,10,9,2,4,0,4,0
0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16,2,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0
